ground,date,match,winner,margin,team1,team2
Geelong,16-Oct-2022,1st Match,Namibia,55 runs,Namibia,Sri Lanka
Geelong,16-Oct-2022,2nd Match,Netherlands,3 wickets,United Arab Emirates,Netherlands
Hobart,17-Oct-2022,3rd Match,Scotland,42 runs,Scotland,West Indies
Hobart,17-Oct-2022,4th Match,Zimbabwe,31 runs,Zimbabwe,Ireland
Geelong,18-Oct-2022,5th Match,Netherlands,5 wickets,Namibia,Netherlands
Geelong,18-Oct-2022,6th Match,Sri Lanka,79 runs,Sri Lanka,United Arab Emirates
Hobart,19-Oct-2022,7th Match,Ireland,6 wickets,Scotland,Ireland
Hobart,19-Oct-2022,8th Match,West Indies,31 runs,West Indies,Zimbabwe
Geelong,20-Oct-2022,9th Match,Sri Lanka,16 runs,Sri Lanka,Netherlands
Geelong,20-Oct-2022,10th Match,U.A.E.,7 runs,United Arab Emirates,Namibia
Hobart,21-Oct-2022,11th Match,Ireland,9 wickets,West Indies,Ireland
Hobart,21-Oct-2022,12th Match,Zimbabwe,5 wickets,Scotland,Zimbabwe
Sydney,22-Oct-2022,13th Match,New Zealand,89 runs,New Zealand,Australia
Perth,22-Oct-2022,14th Match,England,5 wickets,Afghanistan,England
Hobart,23-Oct-2022,15th Match,Sri Lanka,9 wickets,Ireland,Sri Lanka
Melbourne,23-Oct-2022,16th Match,India,4 wickets,Pakistan,India
Hobart,24-Oct-2022,17th Match,Bangladesh,9 runs,Bangladesh,Netherlands
Hobart,24-Oct-2022,18th Match,No result,  -  ,Zimbabwe,South Africa
Perth,25-Oct-2022,19th Match,Australia,7 wickets,Sri Lanka,Australia
Melbourne,26-Oct-2022,20th Match,Ireland,5 runs,Ireland,England
Melbourne,26-Oct-2022,21st Match,Match abandoned without a ball bowled,  -  ,Afghanistan,New Zealand
Sydney,27-Oct-2022,22nd Match,South Africa,104 runs,South Africa,Bangladesh
Sydney,27-Oct-2022,23rd Match,India,56 runs,India,Netherlands
Perth,27-Oct-2022,24th Match,Zimbabwe,1 run,Zimbabwe,Pakistan
Melbourne,28-Oct-2022,25th Match,Match abandoned without a ball bowled,  -  ,Afghanistan,Ireland
Melbourne,28-Oct-2022,26th Match,Match abandoned without a ball bowled,  -  ,Australia,England
Sydney,29-Oct-2022,27th Match,New Zealand,65 runs,New Zealand,Sri Lanka
Brisbane,30-Oct-2022,28th Match,Bangladesh,3 runs,Bangladesh,Zimbabwe
Perth,30-Oct-2022,29th Match,Pakistan,6 wickets,Netherlands,Pakistan
Perth,30-Oct-2022,30th Match,South Africa,5 wickets,India,South Africa
Brisbane,31-Oct-2022,31st Match,Australia,42 runs,Australia,Ireland
Brisbane,01-Nov-2022,32nd Match,Sri Lanka,6 wickets,Afghanistan,Sri Lanka
Brisbane,01-Nov-2022,33rd Match,England,20 runs,England,New Zealand
Adelaide,02-Nov-2022,34th Match,Netherlands,5 wickets,Zimbabwe,Netherlands
Adelaide,02-Nov-2022,35th Match,India,5 runs,India,Bangladesh
Sydney,03-Nov-2022,36th Match,Pakistan,33 runs,Pakistan,South Africa
Adelaide,04-Nov-2022,37th Match,New Zealand,35 runs,New Zealand,Ireland
Adelaide,04-Nov-2022,38th Match,Australia,4 runs,Australia,Afghanistan
Sydney,05-Nov-2022,39th Match,England,4 wickets,Sri Lanka,England
Adelaide,06-Nov-2022,40th Match,Netherlands,13 runs,Netherlands,South Africa
Adelaide,06-Nov-2022,41st Match,Pakistan,5 wickets,Bangladesh,Pakistan
Melbourne,06-Nov-2022,42nd Match,India,71 runs,India,Zimbabwe
Sydney,09-Nov-2022,1st Semi-Final,Pakistan,7 wickets,New Zealand,Pakistan
Adelaide,10-Nov-2022,2nd Semi-Final,England,10 wickets,India,England
Melbourne,13-Nov-2022,Final,England,5 wickets,Pakistan,England
